model_family,n_diag_sec,n_proc_sec,dense_layers,dropouts,accuracy,macro_f1,weighted_f1,top3_accuracy,epochs_run,best_val_loss,seconds
Neural Network,28,10,"[256, 128]","[0.35, 0.25]",0.8122822299651568,0.7338098846014947,0.8038005067175553,0.9481707215309143,12,0.6840301156044006,12.9
Neural Network,28,4,"[256, 128]","[0.35, 0.25]",0.8144599303135889,0.7323927672207143,0.8082675859977922,0.9490417838096619,12,0.696731686592102,11.78
Neural Network,8,20,"[256, 128]","[0.35, 0.25]",0.8096689895470384,0.7321238216994891,0.8035559429589407,0.9464285969734192,12,0.6424787640571594,11.1
Neural Network,6,10,"[256, 128]","[0.35, 0.25]",0.8092334494773519,0.7314357241792814,0.802904767142465,0.9486062526702881,12,0.6395253539085388,8.02
Neural Network,16,0,"[256, 128]","[0.35, 0.25]",0.8087979094076655,0.7313729409607364,0.8013711358445554,0.9512194991111755,12,0.6905813813209534,8.04
Neural Network,24,10,"[256, 128]","[0.35, 0.25]",0.8079268292682927,0.7312866186131868,0.8024493810140809,0.9451219439506531,12,0.6570175290107727,12.19
Neural Network,20,12,"[256, 128]","[0.35, 0.25]",0.8140243902439024,0.7311880193496882,0.8068639766806769,0.9429442286491394,12,0.6724380850791931,12.22
Neural Network,20,29,"[256, 128]","[0.35, 0.25]",0.8162020905923345,0.7311671815732321,0.8090732289323255,0.9446864128112793,12,0.6920595169067383,15.78
Neural Network,10,10,"[256, 128]","[0.35, 0.25]",0.8144599303135889,0.7306689491368334,0.8066174898572674,0.9486062526702881,11,0.6673776507377625,8.89
Neural Network,24,20,"[256, 128]","[0.35, 0.25]",0.8105400696864111,0.7297537189301615,0.8030596608625604,0.9446864128112793,12,0.6439085602760315,14.68
Neural Network,16,16,"[256, 128]","[0.35, 0.25]",0.8101045296167247,0.7293619304886818,0.8029199850286561,0.9486062526702881,12,0.6571454405784607,11.9
Neural Network,28,24,"[256, 128]","[0.35, 0.25]",0.8140243902439024,0.728236863749119,0.8058079381332229,0.9416376352310181,12,0.6392457485198975,16.3
Neural Network,24,29,"[256, 128]","[0.35, 0.25]",0.813588850174216,0.7280889790419875,0.8057599714324181,0.9455574750900269,12,0.6270350813865662,16.64
Neural Network,28,8,"[256, 128]","[0.35, 0.25]",0.818815331010453,0.7278129490501953,0.8091728422071872,0.9459930062294006,12,0.633517861366272,12.67
Neural Network,20,24,"[256, 128]","[0.35, 0.25]",0.8122822299651568,0.7273869747656778,0.8045382981339873,0.9507839679718018,12,0.6201638579368591,14.55
Neural Network,8,24,"[256, 128]","[0.35, 0.25]",0.8096689895470384,0.7264218915222636,0.8038107579383224,0.9446864128112793,12,0.6790010333061218,11.84
Neural Network,6,20,"[256, 128]","[0.35, 0.25]",0.8096689895470384,0.7261149765238435,0.8037489488978697,0.9455574750900269,12,0.6582169532775879,10.47
Neural Network,12,0,"[256, 128]","[0.35, 0.25]",0.8070557491289199,0.7255063948291063,0.7990021853909277,0.9359756112098694,12,0.6958906650543213,7.17
Neural Network,34,2,"[256, 128]","[0.35, 0.25]",0.8127177700348432,0.72514261738323,0.8048744923572128,0.943379819393158,12,0.6680090427398682,12.74
Neural Network,34,20,"[256, 128]","[0.35, 0.25]",0.811411149825784,0.7250082280254218,0.8055865321156568,0.9451219439506531,12,0.6532421112060547,16.74
Neural Network,34,24,"[256, 128]","[0.35, 0.25]",0.8131533101045296,0.7246894902701955,0.8023240820676876,0.9416376352310181,12,0.6681740880012512,17.81
Neural Network,4,0,"[256, 128]","[0.35, 0.25]",0.8005226480836237,0.7236246708490897,0.7928806172739955,0.9385888576507568,12,0.7186604738235474,5.21
Neural Network,10,6,"[256, 128]","[0.35, 0.25]",0.804006968641115,0.7227803821541671,0.7979924445002687,0.9486062526702881,12,0.6404294967651367,8.34
Neural Network,24,8,"[256, 128]","[0.35, 0.25]",0.8087979094076655,0.7225922765776336,0.802407012108561,0.9442508816719055,12,0.6610549092292786,11.75
Neural Network,6,8,"[256, 128]","[0.35, 0.25]",0.8066202090592335,0.7222790670130139,0.798907773431335,0.9481707215309143,11,0.6541728377342224,7.2
Neural Network,4,8,"[256, 128]","[0.35, 0.25]",0.806184668989547,0.7212221490312726,0.7988633417150677,0.9442508816719055,11,0.6427525877952576,6.77
Neural Network,6,6,"[256, 128]","[0.35, 0.25]",0.8101045296167247,0.7210825741648458,0.8034487919594567,0.9464285969734192,11,0.6453545093536377,6.73
Neural Network,4,16,"[256, 128]","[0.35, 0.25]",0.8070557491289199,0.7197099278484788,0.8009758170099659,0.9416376352310181,12,0.6809390187263489,8.92
Neural Network,8,16,"[256, 128]","[0.35, 0.25]",0.8131533101045296,0.719096389453467,0.8034400844264864,0.9425086975097656,12,0.6615535616874695,10.09
Neural Network,34,4,"[256, 128]","[0.35, 0.25]",0.8070557491289199,0.7189992415415521,0.7965749415547972,0.9420731663703918,12,0.7096675038337708,13.39
Neural Network,12,4,"[256, 128]","[0.35, 0.25]",0.8140243902439024,0.7188937324484008,0.8051919730523778,0.9477351903915405,11,0.6461485028266907,7.73
Neural Network,34,0,"[256, 128]","[0.35, 0.25]",0.8022648083623694,0.718723003855085,0.7945712265187891,0.9364111423492432,12,0.6995790600776672,12.25
Neural Network,6,12,"[256, 128]","[0.35, 0.25]",0.8092334494773519,0.718219310491568,0.8010757021837017,0.9472996592521667,12,0.6577352285385132,8.45
Neural Network,10,2,"[256, 128]","[0.35, 0.25]",0.8074912891986062,0.7167542516952202,0.8004242437464243,0.9394599199295044,11,0.6376460790634155,7.17
Neural Network,20,0,"[256, 128]","[0.35, 0.25]",0.8079268292682927,0.7163204979810981,0.7973057094919257,0.940330982208252,11,0.7187986373901367,9.03
Neural Network,4,29,"[256, 128]","[0.35, 0.25]",0.806184668989547,0.716187622384007,0.7970267579776031,0.9416376352310181,11,0.6466996669769287,11.53
Neural Network,4,20,"[256, 128]","[0.35, 0.25]",0.804006968641115,0.7157491251363295,0.7934689511065818,0.9429442286491394,12,0.6763814091682434,9.83
Neural Network,10,16,"[256, 128]","[0.35, 0.25]",0.8070557491289199,0.7155935024869324,0.8002189152477699,0.9507839679718018,11,0.645740270614624,10.43
Neural Network,8,4,"[256, 128]","[0.35, 0.25]",0.801829268292683,0.7154046903659076,0.795764213137987,0.9425086975097656,11,0.6377325057983398,6.72
Neural Network,4,12,"[256, 128]","[0.35, 0.25]",0.8000871080139372,0.7151869163650973,0.7915296116443654,0.9499129056930542,11,0.6549691557884216,7.63
Neural Network,8,10,"[256, 128]","[0.35, 0.25]",0.8048780487804879,0.7141473852875223,0.7981105746401614,0.9490417838096619,11,0.6976454854011536,8.07
Neural Network,20,10,"[256, 128]","[0.35, 0.25]",0.8044425087108014,0.7139018140372912,0.7961858417918686,0.9429442286491394,11,0.6516984701156616,11.63
Neural Network,28,29,"[256, 128]","[0.35, 0.25]",0.804006968641115,0.7134002654841504,0.7949762520128371,0.9442508816719055,12,0.6964476704597473,17.43
Neural Network,24,0,"[256, 128]","[0.35, 0.25]",0.7996515679442509,0.7130943368588273,0.7912195075525191,0.9429442286491394,11,0.688316285610199,9.38
Neural Network,4,24,"[256, 128]","[0.35, 0.25]",0.7974738675958188,0.7127234492164967,0.7899962209803116,0.9481707215309143,11,0.6481601595878601,10.83
Neural Network,10,0,"[256, 128]","[0.35, 0.25]",0.8013937282229965,0.7124024181565187,0.7922696390975228,0.9412021040916443,11,0.7009982466697693,6.85
Neural Network,10,20,"[256, 128]","[0.35, 0.25]",0.806184668989547,0.7119909975269734,0.798343670779133,0.9425086975097656,11,0.6398247480392456,10.97
Neural Network,6,2,"[256, 128]","[0.35, 0.25]",0.8000871080139372,0.7108722446874983,0.7910226345306792,0.946864128112793,11,0.7081554532051086,5.92
Neural Network,28,2,"[256, 128]","[0.35, 0.25]",0.8044425087108014,0.7087603655421207,0.7949260890018646,0.9425086975097656,11,0.681038498878479,11.02
Neural Network,34,8,"[256, 128]","[0.35, 0.25]",0.804006968641115,0.7077157513832812,0.7956019049162326,0.9372822046279907,11,0.6764065027236938,13.43
Neural Network,4,2,"[256, 128]","[0.35, 0.25]",0.7996515679442509,0.7053992548689338,0.7909456502903909,0.9412021040916443,11,0.6947469115257263,5.44
Neural Network,12,20,"[256, 128]","[0.35, 0.25]",0.8000871080139372,0.7047721425403519,0.7901680115505594,0.9394599199295044,12,0.7035678029060364,11.8
Neural Network,4,6,"[256, 128]","[0.35, 0.25]",0.796602787456446,0.7041236070113603,0.7863518091824233,0.9451219439506531,12,0.6725558638572693,6.62
Neural Network,8,0,"[256, 128]","[0.35, 0.25]",0.7909407665505227,0.7039181571966205,0.7815715623738619,0.9416376352310181,11,0.7458789348602295,5.92
Neural Network,6,0,"[256, 128]","[0.35, 0.25]",0.7948606271777003,0.7019642123561359,0.786610425644096,0.9385888576507568,12,0.6966830492019653,5.78
Neural Network,28,6,"[256, 128]","[0.35, 0.25]",0.7996515679442509,0.7019011603876215,0.7912885547991384,0.9442508816719055,11,0.6524566411972046,11.78
Neural Network,2,8,"[256, 128]","[0.35, 0.25]",0.7857142857142857,0.7000925714063567,0.7775538635171095,0.946864128112793,12,0.7102202773094177,6.6
Neural Network,10,24,"[256, 128]","[0.35, 0.25]",0.796602787456446,0.6999169718269197,0.7867522719376587,0.943379819393158,11,0.6633187532424927,11.79
Neural Network,6,24,"[256, 128]","[0.35, 0.25]",0.7922473867595818,0.6992394697480674,0.7839053375197473,0.9438153505325317,11,0.6627163290977478,11.18
Neural Network,4,4,"[256, 128]","[0.35, 0.25]",0.7931184668989547,0.6924279269854875,0.7836992232385542,0.943379819393158,11,0.7063053846359253,5.88
Neural Network,2,24,"[256, 128]","[0.35, 0.25]",0.7770034843205574,0.6893026825730916,0.7667883475208999,0.9464285969734192,12,0.7321813702583313,10.52
Neural Network,16,29,"[256, 128]","[0.35, 0.25]",0.796602787456446,0.680036169588747,0.7830588340663902,0.9442508816719055,10,0.6768087148666382,13.62
