accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model_family,n_diag_sec,n_proc_sec,main_hyperparameters,seconds
0.6315331010452961,0.5286068536703257,0.6163502003135887,0.5519040596120149,0.540089274233622,0.9115853658536586,Random Forest,2,8,"300 trees, balanced_subsample, sqrt features",1.41
0.6476480836236934,0.5265711159231978,0.6315187569067451,0.5556035524838651,0.5318922303293055,0.8985191637630662,Random Forest,20,16,"300 trees, balanced_subsample, sqrt features",1.69
0.64198606271777,0.5261310236149627,0.626446941304823,0.554051136619563,0.5314917385678183,0.8972125435540069,Random Forest,24,12,"300 trees, balanced_subsample, sqrt features",1.71
0.6406794425087108,0.5247729493769121,0.6260841952058809,0.5575153310114955,0.531026890033779,0.8963414634146342,Random Forest,28,10,"300 trees, balanced_subsample, sqrt features",1.71
0.6463414634146342,0.5244141085709318,0.629137275257337,0.5561683629174901,0.5282230335573649,0.8954703832752613,Random Forest,6,24,"300 trees, balanced_subsample, sqrt features",1.67
0.6428571428571429,0.5239903026284232,0.6288215565261511,0.5577420678631465,0.5252653450944784,0.8972125435540069,Random Forest,12,24,"300 trees, balanced_subsample, sqrt features",1.68
0.6437282229965157,0.5227138642995005,0.6276141574687167,0.551609886229376,0.5270134632813953,0.89198606271777,Random Forest,10,20,"300 trees, balanced_subsample, sqrt features",1.73
0.6350174216027874,0.5209483118953004,0.6166634250158354,0.5430193487673389,0.5274514366041279,0.9067944250871081,Random Forest,2,20,"300 trees, balanced_subsample, sqrt features",1.52
0.6371951219512195,0.520834121209584,0.6261549338028183,0.5578522767443137,0.5234947787025805,0.8880662020905923,Random Forest,34,8,"300 trees, balanced_subsample, sqrt features",1.6
0.6389372822299652,0.520532725060878,0.6242463416720618,0.5479523955586926,0.5271077739259921,0.894163763066202,Random Forest,28,12,"300 trees, balanced_subsample, sqrt features",1.71
0.6367595818815331,0.5189761684811317,0.6254806954511072,0.5394228937056792,0.5261786619159808,0.8902439024390244,Random Forest,34,6,"300 trees, balanced_subsample, sqrt features",1.7
0.6445993031358885,0.51856218785963,0.6272345528484412,0.5432113934835292,0.5223075298779687,0.8945993031358885,Random Forest,8,29,"300 trees, balanced_subsample, sqrt features",1.88
0.6350174216027874,0.5185205452532627,0.6193473687596923,0.5522098562237304,0.522651765426766,0.894163763066202,Random Forest,16,20,"300 trees, balanced_subsample, sqrt features",1.73
0.6415505226480837,0.5170431648763292,0.6252552514100551,0.5459483333029025,0.5250014682518976,0.8959059233449478,Random Forest,34,12,"300 trees, balanced_subsample, sqrt features",1.83
0.6385017421602788,0.5166942881173099,0.622586532205503,0.5433808076689882,0.521929123441721,0.8876306620209059,Random Forest,12,29,"300 trees, balanced_subsample, sqrt features",1.84
0.6472125435540069,0.5166279212928399,0.6287098545101544,0.5457615801296177,0.5238705224115797,0.8985191637630662,Random Forest,8,20,"300 trees, balanced_subsample, sqrt features",1.72
0.64198606271777,0.5165750181973053,0.6254718330064121,0.5535032463052489,0.5202975781211592,0.8950348432055749,Random Forest,16,29,"300 trees, balanced_subsample, sqrt features",1.79
0.6406794425087108,0.515707416037351,0.623745171505008,0.5483518332056427,0.5211512870434961,0.8906794425087108,Random Forest,10,29,"300 trees, balanced_subsample, sqrt features",1.7
0.6354529616724739,0.5141773474685912,0.6212908023644905,0.541175997045239,0.5168978197276555,0.89198606271777,Random Forest,4,24,"300 trees, balanced_subsample, sqrt features",1.62
0.5426829268292683,0.5138522741268305,0.5478349911085568,0.5178510327195721,0.537407798229202,0.9133275261324042,Random Forest,0,0,"300 trees, balanced_subsample, sqrt features",1.34
0.6367595818815331,0.5131194559056675,0.6215709043456732,0.5510737027549365,0.5159707826930454,0.8806620209059234,Random Forest,34,16,"300 trees, balanced_subsample, sqrt features",1.75
0.6310975609756098,0.5110034003823503,0.611380419136274,0.5301662038698277,0.5203821466105446,0.8980836236933798,Random Forest,2,16,"300 trees, balanced_subsample, sqrt features",1.52
0.6315331010452961,0.5092975536962402,0.6172411239487309,0.544119405007308,0.514023052114773,0.8802264808362369,Random Forest,28,16,"300 trees, balanced_subsample, sqrt features",1.65
0.6363240418118467,0.5083290731601117,0.6206223504616118,0.543001845269505,0.512294594550808,0.889808362369338,Random Forest,28,20,"300 trees, balanced_subsample, sqrt features",1.76
0.6337108013937283,0.5082225088961804,0.618172038225303,0.5363192468965571,0.5144642751293416,0.89198606271777,Random Forest,24,16,"300 trees, balanced_subsample, sqrt features",1.77
0.6341463414634146,0.5047350687946054,0.6179004612928274,0.5417824880948734,0.5088352220522047,0.889808362369338,Random Forest,16,24,"300 trees, balanced_subsample, sqrt features",1.69
0.6315331010452961,0.5038996088992357,0.616793356347496,0.5376336625945236,0.5072155594608132,0.8867595818815331,Random Forest,24,24,"300 trees, balanced_subsample, sqrt features",1.78
0.6293554006968641,0.5024032282842125,0.6133407642163109,0.5384819531631895,0.5069822231732412,0.8863240418118467,Random Forest,20,20,"300 trees, balanced_subsample, sqrt features",1.74
0.6193379790940766,0.5004646016233104,0.6018003703594776,0.5210068332936131,0.5090112175446296,0.8893728222996515,Random Forest,2,24,"300 trees, balanced_subsample, sqrt features",1.62
0.6245644599303136,0.4998768251296256,0.6106991115352364,0.5296880510317112,0.5046059530067769,0.8758710801393729,Random Forest,28,24,"300 trees, balanced_subsample, sqrt features",1.86
0.5627177700348432,0.4998744831773632,0.5598302787388371,0.5020608296236182,0.5172209336591168,0.9155052264808362,Random Forest,0,2,"300 trees, balanced_subsample, sqrt features",1.47
0.6263066202090593,0.49962706950689606,0.6123490802704521,0.5319175193299269,0.5052013188365102,0.8793554006968641,Random Forest,34,10,"300 trees, balanced_subsample, sqrt features",1.66
0.6023519163763066,0.49827962717634255,0.5864442339631962,0.5194105004319445,0.5056793860656007,0.8998257839721254,Random Forest,0,12,"300 trees, balanced_subsample, sqrt features",1.52
0.5818815331010453,0.49665177570669916,0.5715930062352239,0.5042835234050529,0.5106705089171779,0.912020905923345,Random Forest,0,6,"300 trees, balanced_subsample, sqrt features",1.42
0.6232578397212544,0.49588626554466597,0.6082336337270645,0.534060449770919,0.49820140939670365,0.8784843205574913,Random Forest,34,29,"300 trees, balanced_subsample, sqrt features",1.79
0.6245644599303136,0.49447322381337205,0.6080964338057684,0.5326385111814043,0.5010468315873526,0.8754355400696864,Random Forest,24,29,"300 trees, balanced_subsample, sqrt features",2.05
0.6245644599303136,0.4933856898152319,0.6079791244035047,0.5248136910685305,0.5006615824658448,0.8802264808362369,Random Forest,20,29,"300 trees, balanced_subsample, sqrt features",1.73
0.6210801393728222,0.49198489982085963,0.6054915422379036,0.5260435195605686,0.49487221077980986,0.8784843205574913,Random Forest,20,24,"300 trees, balanced_subsample, sqrt features",1.81
0.5631533101045296,0.4910515290794369,0.5587823765901235,0.49930861645505326,0.5044463851951126,0.9006968641114983,Random Forest,0,4,"300 trees, balanced_subsample, sqrt features",1.33
0.6180313588850174,0.487437108601613,0.603240833450436,0.5128531021670265,0.49456767540699254,0.8723867595818815,Random Forest,28,29,"300 trees, balanced_subsample, sqrt features",1.81
0.6197735191637631,0.4854212398030345,0.6028232603943543,0.5159832254162406,0.492076563644067,0.8776132404181185,Random Forest,24,20,"300 trees, balanced_subsample, sqrt features",1.76
0.6149825783972126,0.48152958570784077,0.5999101063661267,0.5046886600534025,0.4873298685548059,0.8754355400696864,Random Forest,34,20,"300 trees, balanced_subsample, sqrt features",1.87
0.5823170731707317,0.47981073580092815,0.5681972193767493,0.4917179415494253,0.4902708322076579,0.9054878048780488,Random Forest,0,8,"300 trees, balanced_subsample, sqrt features",1.48
0.6149825783972126,0.47871873059210296,0.599501806684188,0.5103158608988289,0.4855941794153318,0.8671602787456446,Random Forest,34,24,"300 trees, balanced_subsample, sqrt features",1.77
0.605836236933798,0.4749336547638919,0.5866601093949319,0.4955446563985128,0.4836922965220968,0.8754355400696864,Random Forest,2,29,"300 trees, balanced_subsample, sqrt features",1.59
0.5849303135888502,0.47049020244979867,0.5672596948849333,0.4857970118300191,0.4769393950511987,0.8789198606271778,Random Forest,0,16,"300 trees, balanced_subsample, sqrt features",1.48
